name,area,suburb,type,has-outlets,has-wifi,has-toilets,link,
August Coffee,iw,North Strathfield,cafe,TRUE,TRUE,TRUE,"https://www.google.com/maps/place/August+Coffee/@-33.8634006,151.0854475,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12bbe742491bf7:0xe02d36869e0fba0f!8m2!3d-33.8634006!4d151.0880224!16s%2Fg%2F11p3_x_f4h?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Tea Journal,ns,Chatswood,cafe,TRUE,FALSE,FALSE,"https://www.google.com/maps/place/Tea+Journal/@-33.7978452,151.1782967,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12a8d37f790925:0x869a9dedf7157d7b!8m2!3d-33.7978452!4d151.1808716!16s%2Fg%2F11bwd340yl?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Edition Roasters,cbd,Haymarket,cafe,TRUE,TRUE,,"https://www.google.com/maps/place/Edition+Roasters/@-33.8785445,151.1985762,17z/data=!3m2!4b1!5s0x6b12ae24e647ce31:0xd0f10c4b12db1b46!4m6!3m5!1s0x6b12afd94663e425:0x254c1153abe4bbe!8m2!3d-33.8785445!4d151.2011511!16s%2Fg%2F11ghsh18j8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Yellow Day Coffee Roasters,iw,Lidcombe,cafe,TRUE,FALSE,TRUE,"https://www.google.com/maps/place/YELLOW+DAY+COFFEE+ROASTERS/@-33.8641317,151.0381382,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12bddeede5640f:0x41ce15b535cbbd7c!8m2!3d-33.8641318!4d151.0430091!16s%2Fg%2F11n8dy_f_f?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Bunker 64,iw,Lidcombe,cafe,TRUE,TRUE,TRUE,"http://google.com/maps/place/Bunker+64+Lidcombe,+Railway+Street,+Lidcombe+NSW/@-33.8641317,151.0381382,17z/data=!4m5!3m4!1s0x6b12bdd9be2c572f:0x35cef17ec3c55f72!8m2!3d-33.8638612!4d151.0441421?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
LAB Rhodes,n,Rhodes,cafe,TRUE,FALSE,TRUE,"https://www.google.com/maps/place/LAB+Rhodes/@-33.8298,151.0832351,17z/data=!3m2!4b1!5s0x6b12a4e4435ad5d7:0x79549d356444dece!4m6!3m5!1s0x6b12a53828542dcf:0x5ad4315cc47e646!8m2!3d-33.8298!4d151.08581!16s%2Fg%2F11rwrw1gwf?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
LAB Strathfield,iw,Strathfield,cafe,TRUE,FALSE,TRUE,"http://google.com/maps/place/LAB+Strathfield,+The+Boulevarde,+Strathfield+NSW/@-33.8638612,151.0415672,17z/data=!4m5!3m4!1s0x6b12bad863026821:0xf9c5d5503af1bc4f!8m2!3d-33.8726016!4d151.0944386?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
LAB Parramatta,w,Parramatta,cafe,TRUE,FALSE,TRUE,"https://www.google.com/maps/place/LAB+Parramatta/@-33.8170655,151.000786,17z/data=!3m2!4b1!5s0x6b12a3205bc45a7d:0x6e3ce34bc2312a1c!4m6!3m5!1s0x6b12a3c1f984e6d7:0x29d9a957022f6184!8m2!3d-33.8170655!4d151.0033609!16s%2Fg%2F11k4552pp0?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
4 Stations & Co,n,West Ryde,cafe,TRUE,TRUE,TRUE,"https://www.google.com/maps/place/4+Station+%26+Co+West+Ryde/@-33.8073909,151.0862064,17z/data=!3m2!4b1!5s0x6b12a45209d575dd:0x4a5bb30941db1381!4m6!3m5!1s0x6b12a50f9a93d8dd:0x7673af1ea27fa18a!8m2!3d-33.8073909!4d151.0887813!16s%2Fg%2F11h3lfn2zx?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
The Wedge,cbd,Glebe,cafe,TRUE,TRUE,,"https://www.google.com/maps/place/The+Wedge+Glebe/@-33.8829119,151.1889047,17z/data=!3m2!4b1!5s0x6b12ae2a38e7fae9:0x22249d2af1b52e74!4m6!3m5!1s0x6b12ae2a3f557b93:0xe1ccec2e1fca567e!8m2!3d-33.8829119!4d151.1914796!16s%2Fg%2F11rcwxtxp?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",
Social Butterfly Tea & Dessert,cbd,Sydney,cafe,FALSE,TRUE,TRUE,"https://www.google.com/maps/place/Social+Butterfly+Tea+%26+Dessert/@-33.8695419,151.2041158,17z/data=!3m2!4b1!5s0x6b12ae3f716467cf:0x14cf97bb3b1523e8!4m6!3m5!1s0x6b12afc4e86d2239:0xd9cafd3979558bf8!8m2!3d-33.8695419!4d151.2066907!16s%2Fg%2F11yqb4vj1n?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D",pay to enter
