name,area,suburb,type,has-outlets,has-wifi,has-toilets,link,
August Coffee,iw,North Strathfield,cafe,TRUE,TRUE,TRUE,August Coffee,
Tea Journal,ns,Chatswood,cafe,TRUE,FALSE,FALSE,Tea Journal,
Edition Roasters,cbd,Haymarket,cafe,TRUE,TRUE,,Edition Roasters,
Yellow Day Coffee Roasters,iw,Lidcombe,cafe,TRUE,FALSE,TRUE,YELLOW DAY COFFEE ROASTERS,
Bunker 64,iw,Lidcombe,cafe,TRUE,TRUE,TRUE,Bunker 64 Lidcombe,
LAB Rhodes,n,Rhodes,cafe,TRUE,FALSE,TRUE,LAB Rhodes,
LAB Strathfield,iw,Strathfield,cafe,TRUE,FALSE,TRUE,LAB Strathfield,
LAB Parramatta,w,Parramatta,cafe,TRUE,FALSE,TRUE,LAB Parramatta,
4 Stations & Co,n,West Ryde,cafe,TRUE,TRUE,TRUE,4 Station & Co West Ryde,
The Wedge,cbd,Glebe,cafe,TRUE,TRUE,,The Wedge Glebe,
Social Butterfly Tea & Dessert,cbd,Sydney,cafe,FALSE,TRUE,TRUE,Social Butterfly Tea & Dessert,pay to enter
Stitch Coffee,cbd,Ultimo,cafe,TRUE,FALSE,,Stitch Coffee Broadway,
La Vigne Bakery,n,Eastwood,cafe,FALSE,FALSE,TRUE,La Vigne Bakery Eastwood,
Ampersand Cafe & Bookstore,cbd,Paddington,cafe,,,,Ampersand Cafe & Bookstore.,
La Lune Market,iw,North Strathfield,cafe,TRUE,FALSE,,La Lune Market,
Provence Garden Cafe,n,Eastwood,cafe,,TRUE,,Provence Garden Cafe Eastwood,
Chinatown Country Club,cbd,Sydney,cafe,,,,Chinatown Country Club,
Bubble Nini Cafe,cbd,Zetland,cafe,FALSE,FALSE,TRUE,Bubble Nini Cafe,
Berry Boy,s,Hurstville,cafe,TRUE,TRUE,FALSE,Berry Boy Acai,
1606 Luis de Torres,n,Rhodes,cafe,TRUE,TRUE,,1606 Luis de Torres Rhodes,
Hello Happy,iw,Strathfield,cafe,,TRUE,TRUE,Hello Happy Strathfield,
Sunbrew Cafe,s,Narwee,cafe,,TRUE,,Sunbrew Cafe,
Harry's House Cafe,w,Canley Heights,cafe,TRUE,TRUE,,Harry’s House Canley Heights,
Sugarbaby Espresso,cbd,Mascot,cafe,,TRUE,,Sugarbaby Espresso,
May Story Cafe,iw,Lidcombe,cafe,TRUE,TRUE,TRUE,May Story Cafe Lidcombe,
ickle coffee,s,Kingsgrove,cafe,TRUE,FALSE,,ickle coffee,
Eleven Miles,cbd,Surry Hills,cafe,TRUE,,,Eleven Miles,
Redroof Cafe,iw,Strathfield,cafe,TRUE,FALSE,TRUE,RedRoof Cafe,
Silk Cafe & Restaurant,cbd,Sydney,cafe,,,,Silk Cafe & Restaurant,
Malika Bakehouse,cbd,Surry Hills,cafe,TRUE,FALSE,,Malika Bakehouse Surry Hills,
The Brothers project cafe,cbd,Rosebery,cafe,TRUE,FALSE,,The Brothers project cafe,
Rang On Portman,cbd,Zetland,cafe,TRUE,,,Rang on Portman,
Sorry Thanks I Love You,cbd,Sydney,cafe,,TRUE,,Sorry Thanks I Love You,
Dulcet Cafe (in Kinokuniya),cbd,Sydney,cafe,,TRUE,,Dulcet Cafe,
Gram Cafe & Pancakes,ns,Chatswood,cafe,,TRUE,,Gram Cafe & Pancakes Chatswood,
Dirty Red Glebe,cbd,Glebe,cafe,TRUE,FALSE,,Dirty Red Glebe,
Cafe 506,cbd,Alexandria,cafe,,TRUE,,Cafe 506,
Blue Brew Cafe,iw,Redfern,cafe,,TRUE,,Blue Brew Cafe,
Chubby Cubby,,Haymarket,cafe,,TRUE,,Chubby Cubby Cafe,
Sappho Bookstore,cbd,Glebe,cafe,TRUE,FALSE,TRUE,"Sappho Books, Cafe & Bar",
Smelly Cheesecake,iw,Strathfield,cafe,,FALSE,,The Smelly Cheesecake Strathfield,
Dymocks Cafe,cbd,Sydney,cafe,FALSE,TRUE,TRUE,Dymocks Cafe,
XS Espresso Gregory Hills,w,Gledswood Hills,cafe,TRUE,TRUE,TRUE,XS Espresso Gregory Hills,
Vivace Cafe,n,Epping,cafe,TRUE,TRUE,,Vivace Cafe,
cafe ACRO+ (in Central Park Mall),cbd,Chippendale,cafe,FALSE,TRUE,,cafe ACRO+,
(Only Coffee) The Old Tab Cafe,iw,Campsie,cafe,,TRUE,,(Only Coffee) The Old Tab Cafe,
Incafe,cbd,Haymarket,cafe,,TRUE,,Incafe,time limit on wifi
Common Coffee,n,Epping,cafe,,TRUE,,Common Coffee,
Susu Lane,cbd,Chippendale,cafe,TRUE,FALSE,,Susu Lane,
